name,rating,price,restaurant_type,description,address
Bistrot La Grange - Restaurant Paris 5,"4,6",10–20 €,Restaurant,Ce bistrot propose une cuisine traditionnelle aux accents méditerranéens dans un cadre typique avec terrasse.,"17 Rue Lagrange, 75005 Paris"
La Table de Colette,"4,7",+ de 100 €,Restaurant gastronomique,"Restaurant écoresponsable et gastronomique doté d'une terrasse, proposant des menus de 3 à 7 plats avec des accords mets et vins.","17 Rue Laplace, 75005 Paris"
La Truffière,"4,5",+ de 100 €,Restaurant français,"Restaurant pittoresque avec poutres en bois et voûtes en pierre, servant une cuisine française raffinée à la présentation soignée.","4 Rue Blainville, 75005 Paris"
La Truffière,"4,5",+ de 100 €,Restaurant français,"Restaurant pittoresque avec poutres en bois et voûtes en pierre, servant une cuisine française raffinée à la présentation soignée.","4 Rue Blainville, 75005 Paris"
Le Petit Prince de Paris,"4,1",€€,Restaurant gastronomique,"Restaurant cosy à la décoration originale, proposant des plats français raffinés à base de produits haut de gamme.","12 Rue de Lanneau, 75005 Paris"
Comme Chai Toi,"4,5",€€€,Restaurant français,Plats classiques servis dans un café branché décoré sur le thème de la musique qui propose également un large choix de vins.,"13 Quai de Montebello, 75005 Paris"
Bonvivant,"4,4",€€,Restaurant français,"Bistrot animé doté d'une terrasse, proposant une vaste sélection de vins, des steaks, des grillades et des plats de brasserie.","7 Rue des Écoles, 75005 Paris"
La Méthode - Restaurant Paris 5,"4,3",20–30 €,Restaurant français,NaN,"2 Rue Descartes, 75005 Paris"
Au Bistrot de la Montagne,"4,4",€€,Restaurant français,"Bistrot pittoresque doté de poutres en bois apparentes et de plafonds voûtés en pierre, réservé aux grands groupes.","38 Rue de la Montagne Ste Geneviève, 75005 Paris"
Le Reminet,"4,3",€€€,Restaurant français,"Cuisine française moderne aux influences méditerranéennes, servie parmi des lustres et des miroirs d'antan.","3 Rue des Grands Degrés, 75005 Paris"
Baieta - Restaurant Paris,"4,4",+ de 100 €,Restaurant gastronomique,NaN,"5 Rue de Pontoise, 75005 Paris"
HEBE restaurant - Paris,"4,6",NaN,Restaurant,"Plats de poisson, de viande et de légumes raffinés et de saison servis dans un restaurant élégant proposant de grands vins.","15 Rue Frédéric Sauton, 75005 Paris"
Le Petit Pontoise,"4,6",€€,Restaurant français,"Viande rôtie maison, poissons grillés et vins régionaux dans une brasserie rétro avec une terrasse côté rue.","9 Rue de Pontoise, 75005 Paris"
Restaurant Le Coupe-Chou,"4,6",NaN,Restaurant français,NaN,"11 Rue de Lanneau, 75005 Paris"
Le vent d'Armor,"4,8",+ de 100 €,Restaurant de poisson,"Restaurant sophistiqué proposant une cuisine gastronomique axée sur les poissons, les fruits de mer et les vins fins.","25 Quai de la Tournelle, 75005 Paris"
Sola,"4,7",+ de 100 €,Restaurant gastronomique,"Restaurant de mets japonais originaux et raffinés, agrémentés de touches françaises, dans un caveau en pierre ou une salle élégante.","12 Rue de l'Hôtel Colbert, 75005 Paris"
Alliance,"4,8",+ de 100 €,Restaurant gastronomique,Restaurant novateur proposant des menus dégustation aux saveurs créatives à base de produits locaux.,"5 Rue de Poissy, 75005 Paris"
LAVA - Cuisine & Vin,"4,7",€€,Cuisine française moderne,"Restaurant français chaleureux doté d'une terrasse côté rue, et proposant des plats raffinés et du vin.","9 Rue de la Montagne Ste Geneviève, 75005 Paris"
Kitchen Ter(re),"4,8",€€,Restaurant,"Cuisine invitant au voyage, entre saveurs d'Asie et respect des traditions françaises, dans un cadre sobre.","26 Bd Saint-Germain, 75005 Paris"
La Pie Noir,"4,7",30–50 €,Restaurant français,NaN,"5 Rue de la Montagne Ste Geneviève, 75005 Paris"
