name,rating,price,restaurant_type,description,address
Les Demoiselles Restaurant Paris 17,"4,5",€€,Restaurant français,"Dotée d'une terrasse, cette brasserie de style années 1950 à l'ambiance rétro sert des plats français toute la journée.","23 Rue Léon Jost, 75017 Paris"
ACE Club restaurant Location de Salles,"3,1",NaN,Restaurant,NaN,"SUR ESPLANADE JEAN TOSCAN, 4 Rue du Départ, 75015 Paris"
Restaurant La Table du Caviste bio Paris 17,"4,7",NaN,Restaurant,NaN,"55 Rue de Prony, 75017 Paris"
The Place to...Wagram - Restaurant Pub Paris 17,"4,3",30–40 €,Restaurant,"Brasserie de quartier à l'ambiance détendue avec des murs en briques, un coin salon et des places en terrasse.","47 Av. de Wagram, 75017 Paris"
Sphère,"4,8",+ de 100 €,Restaurant gastronomique,NaN,"18 Rue La Boétie, 75008 Paris"
Au Petit Paris,"4,7",40–50 €,Restaurant croate,NaN,"32 Rue Rennequin, 75017 Paris"
Le Paris 17,"4,7",€€,Restaurant français,Plats français traditionnels dans une brasserie cosy au charme d'antan décorée d'affiches vintage.,"41 Rue Guersant, 75017 Paris"
Madame FAN,"4,6",€€,Restaurant chinois,Mets fusion franco-asiatiques raffinés et saké dans un restaurant tendance aux murs ornés de fresques colorées.,"18 Rue Bayen, 75017 Paris"
César Paris,"3,7",€€,Restaurant italien,"Restaurant haut de gamme à l'éclairage tamisé, proposant plats et desserts italiens traditionnels, ainsi que cocktails et vins.","12 Av. de Wagram, 75008 Paris"
A la Ville de Petrograd,"4,2",NaN,Restaurant russe,Plats slaves servis dans un décor russe foisonnant de ton rouge et une ambiance musicale de l'Est.,"13 Rue Daru, 75008 Paris"
