name,rating,price,restaurant_type,description,address
Au Pied de Cochon,"4,3",€€€,Restaurant français,"Brasserie simple proposant petit-déjeuner, plats locaux et plateaux de charcuterie, accompagnés de bières pression et de cocktails.","6 Rue Coquillière, 75001 Paris"
Palais Royal Restaurant,"4,6",+ de 100 €,Restaurant gastronomique,Vins et cuisine française gastronomique dans une salle à manger raffinée ou en terrasse dans les jardins du palais.,"110 Gal de Valois, 75001 Paris"
Palais Royal Restaurant,"4,6",+ de 100 €,Restaurant gastronomique,Vins et cuisine française gastronomique dans une salle à manger raffinée ou en terrasse dans les jardins du palais.,"110 Gal de Valois, 75001 Paris"
La Robe et Le Palais,"4,5",€€,Restaurant français,Plats français créatifs élaborés à partir d'ingrédients bio et vins naturels proposés dans un restaurant rustique chaleureux.,"13 Rue des Lavandières Sainte-Opportune, 75001 Paris"
restaurant paris,NaN,NaN,Restaurant libanais,NaN,"48 Rue Croix des Petits Champs, 75001 Paris"
yam'Tcha,"4,5",+ de 100 €,Restaurant gastronomique,"Pierres apparentes et boiseries pour une cuisine asiatique métissée, des thés assortis et un menu de saison.","121 Rue Saint-Honoré, 75001 Paris"
Au Vieux Comptoir,"4,6",€€€,Restaurant français,"Menus renouvelés chaque saison composés de classiques français aux accents internationaux, proposés dans une brasserie conviviale.","17 Rue des Lavandières Sainte-Opportune, 75001 Paris"
L'Ardoise,"4,4",€€,Restaurant français,Plats raffinés à base de produits de saison et menus fixes dans une brasserie cosy.,"28 Rue du Mont Thabor, 75001 Paris"
L'Ardoise,"4,4",€€,Restaurant français,Plats raffinés à base de produits de saison et menus fixes dans une brasserie cosy.,"28 Rue du Mont Thabor, 75001 Paris"
Restaurant de La Cordonnerie,"4,7",€€,Restaurant,"Restaurant de cuisine française classique de style ancien, doté de poutres apparentes et décoré de casseroles en cuivre.","20 Rue Saint-Roch, 75001 Paris"
La Dame de Pic,"4,6",+ de 100 €,Restaurant gastronomique,"Menus dégustation de mets gastronomiques à la présentation raffinée, avec associations de vins, dans un restaurant élégant.","20 Rue du Louvre, 75001 Paris"
Le Comptoir des Petits Champs,"4,5",€€,Bistro,"Brasserie élégante à l'atmosphère rétro, servant des plats copieux de cuisine française contemporaine.","17 Rue des Petits Champs, 75001 Paris"
Le Louis,"4,6",20–30 €,Restaurant français,NaN,"31 Rue Coquillière, 75001 Paris"
Maslow - Restaurant Paris 1,"4,9",20–30 €,Restaurant végétarien,NaN,"14 Quai de la Mégisserie, 75001 Paris"
Café de la Régence,"4,3",20–30 €,Restaurant français,"Restaurant rétro proposant des poke bowls et des plats classiques locaux pour le petit-déjeuner, le déjeuner et le dîner.","167 Rue Saint-Honoré, 75001 Paris"
La Régalade Saint-Honoré,"4,5",€€€,Restaurant français,"Plats style brasserie artistiquement présentés, servis dans un cadre rustique aux poutres en bois et aux murs en pierres apparentes.","106 Rue Saint-Honoré, 75001 Paris"
Loulou Restaurant Paris,"4,1",€€€,Restaurant italien,"Élégant restaurant installé dans le musée des Arts décoratifs, servant des plats italiens et français.","107 Rue de Rivoli, 75001 Paris"
Restaurant Florentin,"4,4",20–30 €,Brasserie,"Salades, omelettes et steaks-frites traditionnels dans une brasserie sobre dotée de lambris aux murs.","10 Rue Saint-Florentin, 75001 Paris"
Kong,"3,8",+ de 100 €,Restaurant de cuisine fusion asiatique,Cuisine fusion asiatique audacieuse sous un dôme de verre dans un espace chic conçu par Philippe Starck.,"1 Rue du Pont Neuf, 75001 Paris"
Le Tout-Paris,"4,6",+ de 100 €,Restaurant français,"Cuisine gastronomique proposée dans le restaurant chic situé sur le toit de l'hôtel Cheval Blanc Paris, avec vue panoramique sur la Seine.","8 Quai du Louvre, 75001 Paris"
