location_id,name,description,adress_string,price_level,rating,num_reviews,review_rating_count,cuisine
25940733,Ardent Paris,"Table dédiée à la cuisine au feu avec un sourcing engagé et une cuisine ouverte pour observer le spectacle des flammes. Carte courte et de saison valorisant l'équilibre entre les végétaux sélectionnés auprès de maraîchers français soucieux d'une agriculture durable, les poissons de pêche de petit bateau et les viandes issues d'une sélection auprès d'éleveurs responsables. Ardent Paris, le meilleur de la cuisine au feu, en face des Folies Bergère rue Richer Restaurant bistronomique et barbecue au coeur du quartier des Grands Boulevards, Paris 9","40 Rue Richer, 75009 Paris France",€€ - €€€,4.5,24,"{'1': '0', '2': '2', '3': '2', '4': '2', '5': '18'}",Française
1116702,Casa Cosa,"Situé en face du théâtre Mogador et à deux pas des galeries Lafayette et de l'opéra Garnier dans le 9ème arrondissement de Paris, Casa Cosa sera le lieu idéal pour vos sorties entre amis ou en famille. Ouvert tous les jours en service continu, Casa Cosa vous accueillera en un cadre cosy et chaleureux pour vous offrir d’authentiques spécialités italiennes (pizzas, pasta et beaucoup plus), du vrai café italien à déguster sur une belle terrasse chauffée et un véritable aperitivo à l’italienne.","30, rue de Mogador, 75009 Paris France",€€ - €€€,4.0,475,"{'1': '28', '2': '21', '3': '66', '4': '180', '5': '180'}","Italienne, Pizza, Méditerranéenne, Européenne, Toscane, Italie du Centre"
775346,Chez Vong,,"10 rue de la Grande Truanderie, 75001 Paris France",€€€€,4.0,402,"{'1': '30', '2': '54', '3': '51', '4': '112', '5': '155'}",Chinoise
15707789,Paye Ta Crêpe Paris 18e,,"92 Avenue de Saint Ouen, 75018 Paris France",,3.5,6,"{'1': '1', '2': '1', '3': '1', '4': '0', '5': '3'}",
8297103,McDonald's,"Commandez en ligne et retrouvez facilement toutes les informations McDonald's: le restaurant le plus proche, les actualités, les informations produits et toutes les nouveautés.","62 Boulevard Ornano, 75018 Paris France",€,3.0,4,"{'1': '1', '2': '0', '3': '2', '4': '1', '5': '0'}",
25147887,99 Before,,"99 Rue De La Pompe, 75116 Paris France",,,0,,Française
13298082,The Lions,,"153 rue du Chevaleret, 75013 Paris France",,4.0,5,"{'1': '0', '2': '0', '3': '0', '4': '4', '5': '1'}",Française
27360321,Sarl 119 Rue,,"119 Rue Saint-denis, 75001 Paris France",,,0,,
25373057,Momo Kitchen,,"8 Rue D'alleary 8, 75015 Paris France",,,0,,"Italienne, Américaine, Pizza, Restauration rapide, Cuisine de rue (street food)"
7744909,Casa Nostra,,"2 rue de la Fontaine au Roi, 75011 Paris France",€€ - €€€,3.5,92,"{'1': '16', '2': '4', '3': '13', '4': '40', '5': '19'}","Italienne, Pizza, Européenne"
20054693,PNY Gaité,"PNY Gaité ce sont les meilleurs burgers and fries du 75014, près de la Gare Montparnasse. Le top de la food américaine depuis peu sur la Rive Gauche. PNY Gaité are the best burgers and fries of 75014, near the Gare Montparnasse. The top of American food recently on the left bank.","15, Rue de la Gaité, 75014 Paris France",€€ - €€€,4.5,58,"{'1': '4', '2': '3', '3': '2', '4': '12', '5': '37'}","Américaine, Bar, Restauration rapide, Pub"
27854698,Poissonnerie Monge,,"70 Rue Monge, 75005 Paris France",,,0,,
1035314,Nini,,"24 rue Saussier Leroy, 75017 Paris France",€€ - €€€,3.0,83,"{'1': '24', '2': '9', '3': '6', '4': '15', '5': '29'}","Méditerranéenne, Moyen-Orient, Tunisienne"
9776431,Maison Tête Paris Cadet,"Nous sommes artisan conserveur dans le Gers. Nous nous occupons de l'élevage et de la transformation du CANARD GRAS MULARD IGP GERS. Dans notre boutique retrouvez tous nos produits, ainsi qu'une sélection d'artisan gersois. Le tout dans une ambiance chaleureuse et conviviale. Possibilité de déguster les produits sur places.","20 RUE CADET, 75009 Paris France",€,4.5,48,"{'1': '0', '2': '1', '3': '0', '4': '10', '5': '37'}",Française
17531015,Fresh’Heure,,"4 Rue Gabriel Lamé, 75012 Paris France",€,4.5,23,"{'1': '0', '2': '0', '3': '5', '4': '4', '5': '14'}","Japonaise, Asiatique"
27339843,Le Danube,,"27 Rue Des Alouettes, 75019 Paris France",,,0,,
27361744,Bangcook Fast-good Thaï,"Bangcook, la rencontre de la gastronomie Thaïlandaise et du Fast-Food. Les saveurs des produits frais, préparés sur place par nos chefs, devant vous. Revivez la street food de Bangkok près de chez vous. Un accueil chaleureux, un service rapide, mais attentionné et soigné.","3 Rue De Châteaudun, 75009 Paris France",€,,0,,"Américaine, Restauration rapide, Asiatique, Thaï, Saine, Cuisine de rue (street food)"
10593259,En Face de La Petite Périgourdine,,"28 rue des Ecoles, 75005 Paris France",€€ - €€€,4.0,207,"{'1': '13', '2': '14', '3': '22', '4': '60', '5': '98'}","Italienne, Pizza, Méditerranéenne, Européenne"
3948178,Belushi's,"Commencez votre soirée avec style à Paris dans notre bar Belushi’s le long du bassin de la Villette: Un bar international avec un Happy Hours exceptionnel, les meilleurs burgers de Paris, retransmission d’événements sportifs le tout dans une ambiance unique. Si vous recherchez un établissement à la personnalité unique, le Belushi's Canal vous propose de passer un moment dans un vrai pub anglais qui répondra à toutes vos attentes.","159 Rue de Crimee, 75019 Paris France",€,4.0,383,"{'1': '45', '2': '19', '3': '50', '4': '114', '5': '155'}","Américaine, Bar, Pub"
28006840,Capsule Restaurant,"Capsule Restaurant propose une cuisine d'instinct, une carte gourmande composée de produits frais et de saison réalisée entièrement sur place.

Découvrez votre nouveau restaurant français à Paris 14ème en face de l'entrée de l'Hôpital Cochin, à deux pas de la station Port-Royal et du jardin du Luxembourg.

Notre singularité : du fait maison avec des approvisionnement en circuit court (dès que c'est possible) et une sélection de vins vivants !","2 Rue Cassini, 75014 Paris France",€€€€,4.5,11,"{'1': '1', '2': '0', '3': '0', '4': '1', '5': '9'}",
27370038,Pane Vivo - Monge,,"1 Place Monge, 75005 Paris France",,,0,,
27324773,Bubble Me,,"16 Avenue Niel, 75017 Paris France",,,0,,
13238453,Les Comédiens,,"33 Rue des Alouettes, 75019 Paris France",€€ - €€€,4.0,14,"{'1': '0', '2': '1', '3': '0', '4': '8', '5': '5'}","Pizza, Italienne, Européenne"
27866990,B&b Foods,,"41bis Cours De Vincennes, 75020 Paris France",,,0,,
8710609,Pascal Pinaud,,"70 rue Monge, 75005 Paris France",€,4.5,17,"{'1': '0', '2': '0', '3': '1', '4': '4', '5': '12'}","Française, Restauration rapide, Européenne"
15298415,Zaytoon,,"2 rue Duchefdelaville, 75013 Paris France",€€ - €€€,5.0,95,"{'1': '1', '2': '1', '3': '2', '4': '12', '5': '79'}","Libanaise, Méditerranéenne, Barbecue/Grillades, Moyen-Orient"
17227776,Le Oken,,"19 rue Rambuteau, 75004 Paris France",€€ - €€€,4.0,130,"{'1': '14', '2': '14', '3': '11', '4': '39', '5': '52'}","Française, Café, Fruits de mer et poisson, Européenne, Diner"
9808228,Mombini,"Mombini est un café, qui propose des déjeuners et gâteaux 100% faits maison, du café de qualité, une large sélection de thés et jus bio. Avec l'espace de jeu adjacent et la boutique, Mombini est un lieu original et accueillant pour les parents et les enfants.","22 Rue Gerbert, 75015 Paris France",€€ - €€€,4.5,17,"{'1': '0', '2': '0', '3': '2', '4': '3', '5': '12'}","Internationale, Française"
10910749,Yuki,,"25 Rue Alain Chartier, 75015 Paris France",€€ - €€€,3.0,17,"{'1': '3', '2': '3', '3': '4', '4': '4', '5': '3'}","Japonaise, Pizza"
1332250,Le Janissaire,,"22 allee Vivaldi, 75012 Paris France",€€ - €€€,4.5,433,"{'1': '10', '2': '13', '3': '25', '4': '156', '5': '229'}","Méditerranéenne, Turque, Moyen-Orient"
